producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva,producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
5 Avisos Subsimples Combo Suscrip,0,0,0,10699,810,939.6,-,-,-,-,-,-,,,,,,,,,,,,,
10 subsimples combo,0,0,0,10418,1620,1879.2,-,-,-,-,-,-,,,,,,,,,,,,,
Aviso Simple Combo,1,0,0,8603,1362.42,1580.41,8600,-,-,8601,-,-,,,,,,,,,,,,,
Aviso Destacado Combo,0,1,0,8599,3087.72,3581.76,8596,-,-,8597,-,-,,,,,,,,,,,,,
Aviso Superdestacado Combo,0,0,1,8607,4257.36,4938.54,8604,-,-,8605,-,-,,,,,,,,,,,,,
5 Avisos Simples Combo,5,0,0,8635,2478.6,2875.18,8632,-,-,8633,-,-,,,,,,,,,,,,,
5 Avisos Destacados Combo,0,5,0,8631,4009.5,4651.02,8628,-,-,8629,-,-,,,,,,,,,,,,,
5 Avisos Superdestacados Combo,0,0,5,8639,8019,9302.04,8636,-,-,8637,-,-,,,,,,,,,,,,,
10 Avisos Simples Combo,10,0,0,8611,3681.45,4270.48,8608,-,-,8609,-,-,,,,,,,,,,,,,
10 Avisos Destacados Combo Mensual,0,10,0,8652,7371,8550.36,8666,-,-,8673,-,-,,,,,,,,,,,,,
10 Avisos Superdestacados Combo,0,0,10,8656,14807.61,17176.83,8670,88845.66,103060.97,8677,177691.32,206121.93,,,,,,,,,,,,,
30 Avisos Simples Combo,30,0,0,8858,6583.5,7636.86,8860,-,-,8861,-,-,,,,,,,,,,,,,
25 Avisos Destacados Combo Mensual,0,25,0,8653,16245,18844.2,8667,-,-,8674,-,-,,,,,,,,,,,,,
25 Avisos Superdestacados Combo,0,0,25,8658,32543.87,37750.88,8672,195263.19,226505.3,8679,390526.38,453010.6,,,,,,,,,,,,,
50 Avisos Simples Combo,50,0,0,8643,8707.5,10100.7,8640,-,-,8641,-,-,,,,,,,,,,,,,
50 Avisos Destacados Combo,0,50,0,20220,25297.2,29344.75,20224,151783.2,176068.51,20228,303566.4,352137.02,,,,,,,,,,,,,
50 Avisos Superdestacados Combo,0,0,50,20221,45057.6,52266.82,20225,270345.6,313600.9,20229,540691.2,627201.79,,,,,,,,,,,,,
80 Avisos Simples Combo,80,0,0,8651,11245.5,13044.78,8648,-,-,8649,-,-,,,,,,,,,,,,,
100 Avisos Simples Combo,100,0,0,8615,13891.5,16114.14,8612,83349,96684.84,8613,166698,193369.68,,,,,,,,,,,,,
100 Avisos Destacados Combo,0,100,0,20222,40839.12,47373.38,20226,245034.72,284240.28,20230,490069.44,568480.55,,,,,,,,,,,,,
100 Avisos Superdestacados Combo,0,0,100,20223,62817.93,72868.8,20227,376907.58,437212.79,20231,753815.16,874425.59,,,,,,,,,,,,,
200 Avisos Simples Combo,200,0,0,8619,24255,28135.8,8616,145530,168814.8,8617,291060,337629.6,,,,,,,,,,,,,
350 Avisos Simples Combo,350,0,0,8627,-,-,8624,-,-,8625,-,-,,,,,,,,,,,,,
500 Avisos Simples Combo,500,0,0,8647,58265.46,67587.93,8644,349592.76,405527.6,8645,699185.52,811055.2,,,,,,,,,,,,,
Pack Bolillo 5S + 1D Combo Mensual,5,1,0,20254,1389.96,1612.35,,-,-,,-,-,,,,,,,,,,,,,
Pack 10 Combo,5,5,0,8680,4657.5,5402.7,8708,-,-,8722,-,-,,,,,,,,,,,,,
Pack 15 Combo,10,5,0,8681,5531.49,6416.53,8709,-,-,8723,-,-,,,,,,,,,,,,,
Pack 30 Combo,20,10,0,8682,8141.31,9443.92,8710,-,-,8724,-,-,,,,,,,,,,,,,
Pack 50 Combo,35,15,0,8683,11401.2,13225.39,8711,-,-,8725,-,-,,,,,,,,,,,,,
Pack 80 Combo,60,15,5,8684,19989,23187.24,8712,119934,139123.44,8726,239868,278246.88,,,,,,,,,,,,,
Pack 100 Combo,75,20,5,8685,23287.5,27013.5,8713,139725,162081,8727,279450,324162,,,,,,,,,,,,,
Pack 200 Combo,165,25,10,8686,41589.9,48244.28,8714,249539.4,289465.7,8728,499078.8,578931.41,,,,,,,,,,,,,
Pack 350 Combo,290,42,18,8687,68171.4,79078.82,8715,409028.4,474472.94,8729,818056.8,948945.89,,,,,,,,,,,,,
Pack 500 Combo,425,50,25,8688,77821.92,90273.43,8716,466931.52,541640.56,8730,933863.04,1083281.13,,,,,,,,,,,,,
Pack 700 Combo,610,63,27,8689,-,-,8717,-,-,8731,-,-,,,,,,,,,,,,,
Pack 1000 Combo,870,90,40,8690,-,-,8718,-,-,8732,-,-,,,,,,,,,,,,,
Pack 10 Premium,0,8,2,8691,9836.64,11410.5,8719,59019.84,68463.01,8733,118039.68,136926.03,,,,,,,,,,,,,
Pack 25 Premium,0,18,7,8692,18900.63,21924.73,8720,113403.78,131548.38,8734,226807.56,263096.77,,,,,,,,,,,,,
Pack 50 Premium,0,38,12,8693,34404.3,39908.99,8721,206425.8,239453.93,8735,412851.6,478907.86,,,,,,,,,,,,,
Alquiler 10 Simples Suscrip,10,0,0,10695,2577.42,2989.81,-,-,-,-,-,-,,,,,,,,,,,,,
Alquiler 30 Simples Suscrip,30,0,0,10696,4851,5627.16,-,-,-,-,-,-,,,,,,,,,,,,,
Alquiler 50 Simples Suscrip,50,0,0,10697,6095.7,7071.01,-,-,-,-,-,-,,,,,,,,,,,,,
Alquiler 100 Simples Suscrip,100,0,0,10698,9261,10742.76,-,-,-,-,-,-,,,,,,,,,,,,,
10 Avisos Simples Combo Low TXN Mens,10,0,0,10724,2045.7,2373.01,-,-,-,-,-,-,,,,,,,,,,,,,
Pack 10 Esencial_5SS+5S Combo Mensual,5,0,0,20762,2449.44,2841.35,-,-,-,-,-,-,,,,,,,,,,,,,
Pack 15 Esencial_10SS+5S Combo Mensual,10,0,0,20763,3016.44,3499.07,-,-,-,-,-,-,,,,,,,,,,,,,
Pack 30 Esencial_20SS+10S Combo Mensual,10,0,0,20764,5145.3,5968.55,-,-,-,-,-,-,,,,,,,,,,,,,
300 Avisos Subsimple Combo Mensual,0,0,0,8849,13500,15660,-,-,-,-,-,-,,,,,,,,,,,,,
Pack 50 Esencial_35SS+15S Combo Mensual,15,0,0,20765,6309,7318.44,-,-,-,-,-,-,,,,,,,,,,,,,
Aviso Destacado Combo ZonaDemand,0,1,0,20151,4193.2,4864.11,20157,25159.2,29184.67,20163,50318.4,58369.34,,,,,,,,,,,,,
5 Avisos Destacado Combo ZonaDemand,0,5,0,20152,5445,6316.2,20158,32670,37897.2,20164,65340,75794.4,,,,,,,,,,,,,
10 Avisos Destacado Combo ZonaDemand,0,10,0,20153,10010,11611.6,20159,60060,69669.6,20165,120120,139339.2,,,,,,,,,,,,,
25 Avisos Destacado Combo ZonaDemand,0,25,0,20154,20900,24244,20160,125400,145464,20166,250800,290928,,,,,,,,,,,,,
50 Avisos Destacado Combo ZonaDemand,0,50,0,20155,30918.8,35865.81,20161,185512.8,215194.85,20167,371025.6,430389.7,,,,,,,,,,,,,
100 Avisos Destacado Combo ZonaDemand,0,100,0,20156,47537.6,55143.62,20162,285225.6,330861.7,20168,570451.2,661723.39,,,,,,,,,,,,,
Aviso Superdestacado Combo ZonaDemand,0,0,1,20169,5781.6,6706.66,20175,34689.6,40239.94,20181,69379.2,80479.87,,,,,,,,,,,,,
5 Avisos Superdestacado Combo ZonaDemand,0,0,5,20170,10890,12632.4,20176,65340,75794.4,20182,130680,151588.8,,,,,,,,,,,,,
10 Avisos Superdestacado Combo ZonaDemand,0,0,10,20171,20109.1,23326.56,20177,120654.6,139959.34,20183,241309.2,279918.67,,,,,,,,,,,,,
25 Avisos Superdestacado Combo ZonaDemand,0,0,25,20172,41869.3,48568.39,20178,251215.8,291410.33,20184,502431.6,582820.66,,,,,,,,,,,,,
50 Avisos Superdestacado Combo ZonaDemand,0,0,50,20173,55070.4,63881.66,20179,330422.4,383289.98,20185,660844.8,766579.97,,,,,,,,,,,,,
100 Avisos Superdestacado Combo ZonaDemand,0,0,100,20174,73121.4,84820.82,20180,438728.4,508924.94,20186,877456.8,1017849.89,,,,,,,,,,,,,