producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
5 Avisos Subsimples Combo Suscrip,0,0,0,10699,1000.00,1160.00,-,-,-,-,-,-
10 subsimples combo,0,0,0,10418,2000.00,2320.00,-,-,-,-,-,-
Aviso Simple Combo,1,0,0,8603,1682.00,1951.12,8600,-,-,8601,-,-
Aviso Destacado Combo,0,1,0,8599,3812.00,4421.92,8596,-,-,8597,-,-
Aviso Superdestacado Combo,0,0,1,8607,5256.00,6096.96,8604,-,-,8605,-,-
5 Avisos Simples Combo,5,0,0,8635,3060.00,3549.60,8632,-,-,8633,-,-
5 Avisos Destacados Combo,0,5,0,8631,4950.00,5742.00,8628,-,-,8629,-,-
5 Avisos Superdestacados Combo,0,0,5,8639,9900.00,11484.00,8636,-,-,8637,-,-
10 Avisos Simples Combo,10,0,0,8611,4545.00,5272.20,8608,-,-,8609,-,-
10 Avisos Destacados Combo Mensual,0,10,0,8652,9100.00,10556.00,8666,-,-,8673,-,-
10 Avisos Superdestacados Combo,0,0,10,8656,18281.00,21205.96,8670,109686.00,127235.76,8677,219372.00,254471.52
30 Avisos Simples Combo,30,0,0,8858,7700.00,8932.00,8860,-,-,8861,-,-
25 Avisos Destacados Combo Mensual,0,25,0,8653,19000.00,22040.00,8667,-,-,8674,-,-
25 Avisos Superdestacados Combo,0,0,25,8658,38063.00,44153.08,8672,228378.00,264918.48,8679,456756.00,529836.96
50 Avisos Simples Combo,50,0,0,8643,9675.00,11223.00,8640,-,-,8641,-,-
50 Avisos Destacados Combo,0,50,0,20220,28108.00,32605.28,20224,168648.00,195631.68,20228,337296.00,391263.36
50 Avisos Superdestacados Combo,0,0,50,20221,50064.00,58074.24,20225,300384.00,348445.44,20229,600768.00,696890.88
80 Avisos Simples Combo,80,0,0,8651,12495.00,14494.20,8648,-,-,8649,-,-
100 Avisos Simples Combo,100,0,0,8615,14700.00,17052.00,8612,88200.00,102312.00,8613,176400.00,204624.00
100 Avisos Destacados Combo,0,100,0,20222,43216.00,50130.56,20226,259296.00,300783.36,20230,518592.00,601566.72
100 Avisos Superdestacados Combo,0,0,100,20223,66474.00,77109.84,20227,398844.00,462659.04,20231,797688.00,925318.08
200 Avisos Simples Combo,200,0,0,8619,24500.00,28420.00,8616,147000.00,170520.00,8617,294000.00,341040.00
350 Avisos Simples Combo,350,0,0,8627,-,-,8624,-,-,8625,-,-
500 Avisos Simples Combo,500,0,0,8647,58854.00,68270.64,8644,353124.00,409623.84,8645,706248.00,819247.68
Pack Bolillo 5S + 1D Combo Mensual,5,1,0,20254,1716.00,1990.56,,,,,,
Pack 10 Combo,5,5,0,8680,5750.00,6670.00,8708,-,-,8722,-,-
Pack 15 Combo,10,5,0,8681,6829.00,7921.64,8709,-,-,8723,-,-
Pack 30 Combo,20,10,0,8682,9522.00,11045.52,8710,-,-,8724,-,-
Pack 50 Combo,35,15,0,8683,12668.00,14694.88,8711,-,-,8725,-,-
Pack 80 Combo,60,15,5,8684,22210.00,25763.60,8712,133260.00,154581.60,8726,266520.00,309163.20
Pack 100 Combo,75,20,5,8685,25875.00,30015.00,8713,155250.00,180090.00,8727,310500.00,360180.00
Pack 200 Combo,165,25,10,8686,42010.00,48731.60,8714,252060.00,292389.60,8728,504120.00,584779.20
Pack 350 Combo,290,42,18,8687,68860.00,79877.60,8715,413160.00,479265.60,8729,826320.00,958531.20
Pack 500 Combo,425,50,25,8688,78608.00,91185.28,8716,471648.00,547111.68,8730,943296.00,1094223.36
Pack 700 Combo,610,63,27,8689,Baja,Baja,8717,Baja,Baja,8731,Baja,Baja
Pack 1000 Combo,870,90,40,8690,Baja,Baja,8718,Baja,Baja,8732,Baja,Baja
Pack 10 Premium,0,8,2,8691,12144.00,14087.04,8719,72864.00,84522.24,8733,145728.00,169044.48
Pack 25 Premium,0,18,7,8692,22106.00,25642.96,8720,132636.00,153857.76,8734,265272.00,307715.52
Pack 50 Premium,0,38,12,8693,38227.00,44343.32,8721,229362.00,266059.92,8735,458724.00,532119.84
Alquiler 10 Simples Suscrip,10,0,0,10695,3182.00,3691.12,-,-,-,-,-,-
Alquiler 30 Simples Suscrip,30,0,0,10696,5390.00,6252.40,-,-,-,-,-,-
Alquiler 50 Simples Suscrip,50,0,0,10697,6773.00,7856.68,-,-,-,-,-,-
Alquiler 100 Simples Suscrip,100,0,0,10698,10290.00,11936.40,-,-,-,-,-,-
10 Avisos Simples Combo Low TXN Mens,10,0,0,10724,2273.00,2636.68,-,-,-,-,-,-
Aviso Destacado Combo ZonaDemand,0,1,0,20151,3812.00,4421.92,20157,22872.00,26531.52,20163,45744.00,53063.04
5 Avisos Destacado Combo ZonaDemand,0,5,0,20152,4950.00,5742.00,20158,29700.00,34452.00,20164,59400.00,68904.00
10 Avisos Destacado Combo ZonaDemand,0,10,0,20153,9100.00,10556.00,20159,54600.00,63336.00,20165,109200.00,126672.00
25 Avisos Destacado Combo ZonaDemand,0,25,0,20154,19000.00,22040.00,20160,114000.00,132240.00,20166,228000.00,264480.00
50 Avisos Destacado Combo ZonaDemand,0,50,0,20155,28108.00,32605.28,20161,168648.00,195631.68,20167,337296.00,391263.36
100 Avisos Destacado Combo ZonaDemand,0,100,0,20156,43216.00,50130.56,20162,259296.00,300783.36,20168,518592.00,601566.72
Aviso Superdestacado Combo ZonaDemand,0,0,1,20169,5256.00,6096.96,20175,31536.00,36581.76,20181,63072.00,73163.52
5 Avisos Superdestacado Combo ZonaDemand,0,0,5,20170,9900.00,11484.00,20176,59400.00,68904.00,20182,118800.00,137808.00
10 Avisos Superdestacado Combo ZonaDemand,0,0,10,20171,18281.00,21205.96,20177,109686.00,127235.76,20183,219372.00,254471.52
25 Avisos Superdestacado Combo ZonaDemand,0,0,25,20172,38063.00,44153.08,20178,228378.00,264918.48,20184,456756.00,529836.96
50 Avisos Superdestacado Combo ZonaDemand,0,0,50,20173,50064.00,58074.24,20179,300384.00,348445.44,20185,600768.00,696890.88
100 Avisos Superdestacado Combo ZonaDemand,0,0,100,20174,66474.00,77109.84,20180,398844.00,462659.04,20186,797688.00,925318.08